Group ID,Light Treatment  Population white eyed Female,Light Treatment  Population wild type Female,Light Treatment  Population white eyed Male,Light Treatment  Population wild type Male,Light Treatment Frequency for white eyed Allele,Dark Treatment  Population white eyed Female,Dark Treatment  Population wild type Female,Dark Treatment  Population white eyed Male,Dark Treatment  Population wild type Male,Dark Treatment Frequency for white eyed Allele,Reporting year,Chron Order
492,0,20,0,20,0,0,20,0,20,0,S21,
496,0,20,0,20,0,0,20,0,20,0,S21,
488,0,20,0,20,0,0,20,0,20,0,S21,
522,0,20,0,20,0,0,20,0,20,0,S21,
516,0,19,0,21,0,0,19,0,21,0,S21,
540,0,20,0,20,0,0,20,0,20,0,S21,
528,0,20,0,20,0,0,20,0,20,0,S21,
518,0,20,0,20,0,0,20,0,20,0,S21,
542,0,20,0,20,0,0,20,0,20,0,S21,
538,0,20,0,20,0,0,20,0,20,0,S21,
524,0,20,0,20,0,0,20,0,20,0,S21,
520,0,20,0,20,0,0,20,0,20,0,S21,
530,0,20,0,20,0,0,20,0,20,0,S21,
536,0,20,0,20,0,0,20,0,20,0,S21,
526,0,20,0,20,0,0,20,0,20,0,S21,
532,0,20,0,20,0,0,20,0,20,0,S21,
534,0,20,0,20,0,0,20,0,20,0,S21,
550,0,20,0,20,0,0,20,0,20,0,S21,
566,0,19,0,21,0,0,20,0,20,0,S21,
570,0,21,0,19,0,0,20,0,20,0,S21,
564,0,20,0,20,0,0,20,0,20,0,S21,
548,0,20,0,20,0,0,16,0,24,0,S21,
568,0,19,0,21,0,0,21,0,19,0,S21,
544,0,20,0,20,0,0,20,0,20,0,S21,
558,0,20,0,20,0,0,20,0,20,0,S21,
556,0,22,0,18,0,0,22,0,18,0,S21,
562,0,20,0,20,0,0,20,0,20,0,S21,
552,0,20,0,20,0,0,20,0,20,0,S21,
546,0,20,0,20,0,0,20,0,20,0,S21,
116,0,17,0,23,0,0,21,0,19,0,S21,
210,0,20,0,20,0,0,20,0,20,0,S21,
342,0,19,0,21,0,0,18,0,22,0,S21,
168,0,20,0,20,0,0,20,0,20,0,S21,
360,0,20,0,20,0,0,20,0,20,0,S21,
